date,course,tees,round_score,hole,par,score,to_par,fairway,gir,putts,penalties
2026-04-25,Falmouth Country Club,Blue (R1),38,6,5,5,0,TRUE,TRUE,2,0
2026-04-25,Falmouth Country Club,Blue (R1),38,7,4,3,-1,FALSE,TRUE,1,0
2026-04-25,Falmouth Country Club,Blue (R1),38,8,5,5,0,FALSE,TRUE,2,0
2026-04-25,Falmouth Country Club,Blue (R1),38,9,4,4,0,TRUE,TRUE,2,0
2026-04-25,Falmouth Country Club,Blue (R2),37,1,4,4,0,FALSE,FALSE,1,0
2026-04-25,Falmouth Country Club,Blue (R2),37,2,3,5,2,,FALSE,2,1
2026-04-25,Falmouth Country Club,Blue (R2),37,3,4,4,0,FALSE,TRUE,2,0
2026-04-25,Falmouth Country Club,Blue (R2),37,4,4,4,0,FALSE,TRUE,2,0
2026-04-25,Falmouth Country Club,Blue (R2),37,5,3,4,1,,TRUE,3,0
2026-04-25,Falmouth Country Club,Blue (R2),37,6,5,4,-1,TRUE,TRUE,2,0
2026-04-25,Falmouth Country Club,Blue (R2),37,7,4,3,-1,FALSE,TRUE,1,0
2026-04-25,Falmouth Country Club,Blue (R2),37,8,5,5,0,FALSE,TRUE,2,0
2026-04-25,Falmouth Country Club,Blue (R2),37,9,4,4,0,TRUE,TRUE,2,0
2026-04-18,Portland Country Club,Green,88,1,4,5,1,FALSE,TRUE,3,0
2026-04-18,Portland Country Club,Green,88,2,4,5,1,FALSE,FALSE,2,0
2026-04-18,Portland Country Club,Green,88,3,4,4,0,FALSE,TRUE,2,0
2026-04-18,Portland Country Club,Green,88,4,3,4,1,,FALSE,2,0
2026-04-18,Portland Country Club,Green,88,5,4,6,2,FALSE,FALSE,3,0
2026-04-18,Portland Country Club,Green,88,6,5,7,2,TRUE,FALSE,2,0
2026-04-18,Portland Country Club,Green,88,7,3,4,1,,FALSE,2,0
2026-04-18,Portland Country Club,Green,88,8,4,5,1,TRUE,FALSE,2,0
2026-04-18,Portland Country Club,Green,88,9,4,5,1,FALSE,FALSE,2,0
2026-04-18,Portland Country Club,Green,88,10,4,5,1,TRUE,TRUE,3,0
2026-04-18,Portland Country Club,Green,88,11,4,5,1,FALSE,TRUE,3,0
2026-04-18,Portland Country Club,Green,88,12,4,4,0,FALSE,TRUE,2,0
2026-04-18,Portland Country Club,Green,88,13,4,4,0,FALSE,FALSE,1,0
2026-04-18,Portland Country Club,Green,88,14,3,4,1,,FALSE,2,0
2026-04-18,Portland Country Club,Green,88,15,4,6,2,FALSE,TRUE,4,0
2026-04-18,Portland Country Club,Green,88,16,5,6,1,FALSE,FALSE,2,0
2026-06-20,Falmouth Country Club,Green,88,1,4,5,1,FALSE,TRUE,3,0
2026-06-20,Falmouth Country Club,Green,88,2,3,3,0,,TRUE,2,0
2026-06-20,Falmouth Country Club,Green,88,3,4,4,0,FALSE,TRUE,2,0
2026-06-20,Falmouth Country Club,Green,88,4,4,6,2,FALSE,FALSE,2,1
2026-06-20,Falmouth Country Club,Green,88,5,3,5,2,,FALSE,2,0
2026-06-20,Falmouth Country Club,Green,88,6,5,5,0,FALSE,TRUE,3,0
2026-06-20,Falmouth Country Club,Green,88,7,4,4,0,FALSE,FALSE,1,0
2026-06-20,Falmouth Country Club,Green,88,8,5,4,-1,TRUE,TRUE,2,0
2026-06-20,Falmouth Country Club,Green,88,9,4,4,0,FALSE,TRUE,2,0
2026-06-20,Falmouth Country Club,Green,88,10,4,7,3,TRUE,FALSE,3,0
2026-06-20,Falmouth Country Club,Green,88,11,3,4,1,,FALSE,2,0
2026-06-20,Falmouth Country Club,Green,88,12,4,4,0,FALSE,TRUE,2,0
2026-06-20,Falmouth Country Club,Green,88,13,4,5,1,FALSE,TRUE,3,0
2026-06-20,Falmouth Country Club,Green,88,14,5,7,2,TRUE,FALSE,1,1
2026-06-20,Falmouth Country Club,Green,88,15,4,5,1,FALSE,FALSE,2,0
2026-06-20,Falmouth Country Club,Green,88,16,3,3,0,,TRUE,2,0
2026-06-20,Falmouth Country Club,Green,88,17,5,7,2,FALSE,FALSE,2,1
2026-06-20,Falmouth Country Club,Green,88,18,4,6,2,FALSE,FALSE,1,1
2026-06-24,Falmouth Country Club,Blue,44,1,4,6,2,TRUE,FALSE,3,0
2026-06-24,Falmouth Country Club,Blue,44,2,3,3,0,,TRUE,2,0
2026-06-24,Falmouth Country Club,Blue,44,3,4,6,2,FALSE,FALSE,2,1
2026-06-24,Falmouth Country Club,Blue,44,4,4,5,1,TRUE,TRUE,3,0
2026-06-24,Falmouth Country Club,Blue,44,5,3,5,2,,FALSE,1,1
2026-06-24,Falmouth Country Club,Blue,44,6,5,5,0,FALSE,FALSE,1,0
2026-06-24,Falmouth Country Club,Blue,44,7,4,4,0,TRUE,TRUE,2,0
2026-06-24,Falmouth Country Club,Blue,44,8,5,6,1,FALSE,TRUE,3,0
2026-06-24,Falmouth Country Club,Blue,44,9,4,4,0,FALSE,TRUE,2,0
2026-06-25,Falmouth Country Club,Blue,39,1,4,3,-1,TRUE,TRUE,1,0
2026-06-25,Falmouth Country Club,Blue,39,2,3,3,0,,FALSE,1,0
2026-06-25,Falmouth Country Club,Blue,39,3,4,7,3,FALSE,FALSE,1,1
2026-06-25,Falmouth Country Club,Blue,39,4,4,4,0,FALSE,TRUE,2,0
2026-06-25,Falmouth Country Club,Blue,39,5,3,4,1,,TRUE,3,0
2026-06-25,Falmouth Country Club,Blue,39,6,5,4,-1,TRUE,TRUE,2,0
2026-06-25,Falmouth Country Club,Blue,39,7,4,4,0,FALSE,FALSE,1,0
2026-06-25,Falmouth Country Club,Blue,39,8,5,5,0,TRUE,TRUE,2,0
2026-06-25,Falmouth Country Club,Blue,39,9,4,5,1,FALSE,FALSE,2,0
2026-06-29,Brunswick Golf Course,Blue,86,1,4,5,1,TRUE,TRUE,3,0
2026-06-29,Brunswick Golf Course,Blue,86,2,5,5,0,TRUE,FALSE,1,0
2026-06-29,Brunswick Golf Course,Blue,86,3,5,7,2,FALSE,FALSE,2,0
2026-06-29,Brunswick Golf Course,Blue,86,4,3,5,2,,FALSE,2,1
2026-06-29,Brunswick Golf Course,Blue,86,5,3,3,0,,TRUE,2,0
2026-06-29,Brunswick Golf Course,Blue,86,6,4,5,1,FALSE,FALSE,1,0
2026-06-29,Brunswick Golf Course,Blue,86,7,4,4,0,TRUE,FALSE,1,0
2026-06-29,Brunswick Golf Course,Blue,86,8,4,4,0,TRUE,TRUE,2,0
2026-06-29,Brunswick Golf Course,Blue,86,9,5,5,0,FALSE,TRUE,2,0
2026-06-29,Brunswick Golf Course,Blue,86,10,4,6,2,FALSE,FALSE,2,0
2026-06-29,Brunswick Golf Course,Blue,86,11,3,4,1,,FALSE,2,0
2026-06-29,Brunswick Golf Course,Blue,86,12,4,5,1,FALSE,FALSE,1,0
2026-06-29,Brunswick Golf Course,Blue,86,13,4,5,1,FALSE,FALSE,2,0
2026-06-29,Brunswick Golf Course,Blue,86,14,4,4,0,FALSE,TRUE,2,0
2026-06-29,Brunswick Golf Course,Blue,86,15,3,2,-1,,TRUE,1,0
2026-06-29,Brunswick Golf Course,Blue,86,16,5,6,1,FALSE,FALSE,1,0
2026-06-29,Brunswick Golf Course,Blue,86,17,4,4,0,FALSE,TRUE,2,0
2026-06-29,Brunswick Golf Course,Blue,86,18,4,7,3,TRUE,FALSE,2,0
2026-07-01,Falmouth Country Club,Blue,79,1,4,4,0,FALSE,TRUE,2,0
2026-07-01,Falmouth Country Club,Blue,79,2,3,3,0,,TRUE,2,0
2026-07-01,Falmouth Country Club,Blue,79,3,4,4,0,TRUE,FALSE,1,0
2026-07-01,Falmouth Country Club,Blue,79,4,4,7,3,FALSE,FALSE,2,1
2026-07-01,Falmouth Country Club,Blue,79,5,3,3,0,,TRUE,2,0
2026-07-01,Falmouth Country Club,Blue,79,6,5,5,0,TRUE,TRUE,3,0
2026-07-01,Falmouth Country Club,Blue,79,7,4,4,0,TRUE,FALSE,1,0
2026-07-01,Falmouth Country Club,Blue,79,8,5,3,-2,TRUE,TRUE,1,0
2026-07-01,Falmouth Country Club,Blue,79,9,4,4,0,TRUE,TRUE,2,0
2026-07-01,Falmouth Country Club,Blue,79,10,4,5,1,FALSE,FALSE,2,0
2026-07-01,Falmouth Country Club,Blue,79,11,3,4,1,,FALSE,2,0
2026-07-01,Falmouth Country Club,Blue,79,12,4,5,1,FALSE,FALSE,2,0
2026-07-01,Falmouth Country Club,Blue,79,13,4,4,0,TRUE,TRUE,2,0
2026-07-01,Falmouth Country Club,Blue,79,14,5,6,1,FALSE,TRUE,3,0
2026-07-01,Falmouth Country Club,Blue,79,15,4,4,0,FALSE,TRUE,2,0
2026-07-01,Falmouth Country Club,Blue,79,16,3,3,0,,TRUE,2,0
2026-07-01,Falmouth Country Club,Blue,79,17,5,6,1,TRUE,TRUE,3,0
2026-07-01,Falmouth Country Club,Blue,79,18,4,5,1,FALSE,TRUE,3,0
